id;first_name;last_name;fathers_name;mothers_name;current_term;joining_academic_year;exit_academic_year;mobile;email;aadhaar;dob;img_link;img;img_content_type;tenant_id;active
1;Dorris;Lueilwitz;Arkansas Money Market Account JBOD;redundant;24063;clear-thinking Mouse Assurance;Direct;GenericXXX;Jace.Kuhn17@yahoo.com;invoice empo;2022-05-07;Unbranded Incredible Car;../fake-data/blob/hipster.png;image/png;bandwidth;false
2;Sheldon;Strosin;Maryland;Branding;11665;Boliviano Mvdol Rand Loti;optical payment;ArmeniaXXX;Brian65@hotmail.com;Small Metal ;2022-05-07;instruction set HDD;../fake-data/blob/hipster.png;image/png;Investment Account olive;false
3;Ernestina;Pouros;Home Global;driver;60025;wireless Personal Loan Account;Garden Practical Wooden Salad;Fantastic ;Dewitt98@yahoo.com;payment Digi;2022-05-08;Communications Handmade Rubber Pants;../fake-data/blob/hipster.png;image/png;Buckinghamshire;false
4;Ashlynn;Ledner;Front-line Ergonomic Metal Pants;Outdoors infrastructures Ergonomic;87773;Tuna Central;payment viral Branding;paymentXXX;Cory_Schaden1@gmail.com;Borders Intr;2022-05-08;Cambridgeshire Auto Loan Account Delaware;../fake-data/blob/hipster.png;image/png;French Polynesia;false
5;Gianni;Lindgren;Kids Associate Director;back-end mindshare cross-platform;47993;Corners plum;open-source California Monitored;rich Borde;Mellie_Boyle@hotmail.com;Jewelery rea;2022-05-07;Kuwait;../fake-data/blob/hipster.png;image/png;e-markets Handcrafted users;true
6;Ahmed;Yundt;Chair;Data;49738;architectures;Frozen;Indian Rup;Woodrow_Collins@hotmail.com;UtahXXXXXXXX;2022-05-07;Fantastic Concrete Table green;../fake-data/blob/hipster.png;image/png;Fresh;false
7;Rhianna;Schultz;National Manager Handcrafted;granular Implementation;23470;firewall;Squares Toys;utilisatio;Gianni82@gmail.com;drive distri;2022-05-07;Drive solid state index;../fake-data/blob/hipster.png;image/png;Unbranded Customer-focused pixel;false
8;Kendall;Mertz;seamless productize;Danish Krone;29659;knowledge user haptic Automotive;Centralized Leone;wirelessXX;Marian.Dibbert@yahoo.com;lavender Mon;2022-05-08;Mayotte Botswana;../fake-data/blob/hipster.png;image/png;violet modular Fish;false
9;Alphonso;Schinner;District;payment;58125;Salad Palau;Tasty Metal Shirt;array quan;Kennith.Stiedemann81@yahoo.com;USB lavender;2022-05-07;Avon;../fake-data/blob/hipster.png;image/png;Response virtual;false
10;Thurman;Roberts;Sleek;Investment Account override Berkshire;46425;invoice;Villages mesh;Customer S;Demarcus74@gmail.com;neuralXXXXXX;2022-05-07;Refined Concrete;../fake-data/blob/hipster.png;image/png;Metrics Small Concrete Mouse;true
