id;first_name;last_name;img;img_content_type;fathers_name;mothers_name;current_term;joining_academic_year;exit_academic_year;mobile;email;aadhaar;dob;img_link;tenant_id;active
1;Nadia;Cronin;../fake-data/blob/hipster.png;image/png;Drive Berkshire bandwidth;Granite North Carolina Street;848;Avon hard drive;system engine niches Optimization;SoftXXXXXX;Wellington_West@gmail.com;Infrastructu;2022-05-08;Identity;Bedfordshire Car;true
2;Sincere;Pollich;../fake-data/blob/hipster.png;image/png;Avon clicks-and-mortar;generating Village;71765;PNG Orchestrator;applications;Station Sa;Dock.Stroman26@hotmail.com;lime calcula;2022-05-08;Sports;Small Croatian Kuna;true
3;Anastacio;Marks;../fake-data/blob/hipster.png;image/png;time-frame Awesome Frozen Ball New Zealand;Savings Account Factors Baby;64430;Soft Gourde US Dollar grow;Road;attitude B;Meaghan.Bechtelar@yahoo.com;Investment A;2022-05-07;Inverse Soft;Mountain technologies;true
4;Peggie;Hagenes;../fake-data/blob/hipster.png;image/png;orange adapter;invoice intermediate hacking;63972;Germany indexing Health;revolutionary Markets;Small Meta;Shaylee88@hotmail.com;Keyboard New;2022-05-07;Associate Home Loan Account;Garden Locks;false
5;Sandy;Waelchi;../fake-data/blob/hipster.png;image/png;Program index;Land override;1389;heuristic;holistic wireless;parse blac;Joey65@hotmail.com;Stravenue Bo;2022-05-07;frame Investment Account;Direct Handmade;false
6;Freda;Schoen;../fake-data/blob/hipster.png;image/png;programming;deliverables;67916;violet HTTP Nakfa;hacking;RubberXXXX;Mazie92@gmail.com;Orchestrator;2022-05-08;e-commerce extend IB;Bedfordshire context-sensitive;false
7;Cathryn;Rohan;../fake-data/blob/hipster.png;image/png;Licensed Fresh Salad TCP Australia;engineer payment;25361;Streamlined Rubber value-added;transmitter;Vermont Be;Camden_Ortiz@hotmail.com;Car Belize D;2022-05-08;Berkshire multi-byte;Avon mobile;false
8;Oliver;Stracke;../fake-data/blob/hipster.png;image/png;Ergonomic Plastic Tuna TCP redundant;Indiana web-enabled Cambridgeshire;21689;Buckinghamshire encryption;Metrics;port Chees;Linwood49@gmail.com;Mauritius Ru;2022-05-07;Antigua and Barbuda;Creative;true
9;Reynold;Ward;../fake-data/blob/hipster.png;image/png;revolutionary rich support;Buckinghamshire programming enterprise;77185;Borders disintermediate channels;plug-and-play;ItalyXXXXX;Rogers_Dicki71@hotmail.com;deposit SSLX;2022-05-07;paradigms;navigating Optimization;false
10;D'angelo;Kshlerin;../fake-data/blob/hipster.png;image/png;reboot;AI Causeway;7485;middleware Frozen;indexing;circuit Fr;Adolphus10@gmail.com;Intranet Exe;2022-05-08;Crescent Group Swiss Franc;payment Extension Savings Account;false
